region,area,sektor,target_count
Samarinda,SME Banking Floor Balikpapan,Penyediaan Akomodasi dan Penyediaan Makan Minum,2
Samarinda,SME Banking Floor Balikpapan,Lainnya,2
Samarinda,SME Banking Center Samarinda,Pertanian dan Perkebunan,1
Samarinda,SME Banking Center Samarinda,Industri Pengolahan,2
Samarinda,SME Banking Center Samarinda,Konstruksi,4
Samarinda,SME Banking Center Samarinda,Perdagangan,7
Samarinda,SME Banking Center Samarinda,Penyediaan Akomodasi dan Penyediaan Makan Minum,3
Samarinda,SME Banking Center Samarinda,Lainnya,1
Samarinda,SME Banking Desk Tarakan,Konstruksi,2
Samarinda,SME Banking Desk Tarakan,Perdagangan,1
Banjarmasin,SME Banking Center Banjarmasin,Pertanian dan Perkebunan,4
Banjarmasin,SME Banking Center Banjarmasin,Industri Pengolahan,3
Banjarmasin,SME Banking Center Banjarmasin,Konstruksi,4
Banjarmasin,SME Banking Center Banjarmasin,Perdagangan,11
Banjarmasin,SME Banking Center Banjarmasin,Penyediaan Akomodasi dan Penyediaan Makan Minum,4
Banjarmasin,SME Banking Center Banjarmasin,Lainnya,8
Banjarmasin,SME Banking Floor Palangkaraya,Pertanian dan Perkebunan,4
Banjarmasin,SME Banking Floor Palangkaraya,Industri Pengolahan,1
Banjarmasin,SME Banking Floor Palangkaraya,Konstruksi,2
Banjarmasin,SME Banking Floor Palangkaraya,Lainnya,9
Banjarmasin,SME Banking Desk Sampit,Perdagangan,1
Banjarmasin,SME Banking Desk Sampit,Lainnya,2
Banjarmasin,SME Banking Desk Batulicin,Lainnya,2
Banjarmasin,SME Banking Desk Pangkalan Bun,Lainnya,2
Pontianak,SME Banking Center Pontianak,Pertanian dan Perkebunan,5
Pontianak,SME Banking Center Pontianak,Industri Pengolahan,2
Pontianak,SME Banking Center Pontianak,Konstruksi,3
Pontianak,SME Banking Center Pontianak,Perdagangan,3
Pontianak,SME Banking Center Pontianak,Penyediaan Akomodasi dan Penyediaan Makan Minum,4
Pontianak,SME Banking Center Pontianak,Lainnya,1
Pontianak,SME Banking Desk Ketapang,Industri Pengolahan,2
Makassar,SME Banking Floor Kendari,Pertanian dan Perkebunan,2
Makassar,SME Banking Floor Kendari,Industri Pengolahan,4
Makassar,SME Banking Floor Kendari,Konstruksi,2
Makassar,SME Banking Floor Kendari,Perdagangan,1
Makassar,SME Banking Floor Kendari,Lainnya,4
